Mes;PPCord
1/4/2014;33,85
1/5/2014;33,85
1/6/2014;33,25
1/7/2014;34,75
1/8/2014;37,25
1/9/2014;38,00
1/10/2014;41,25
1/11/2014;48,25
1/12/2014;44,25
1/1/2015;47,38
1/2/2015;46,00
1/3/2015;46,84
1/4/2015;46,09
1/5/2015;47,13
1/6/2015;49,63
1/7/2015;55,13
1/8/2015;55,38
1/9/2015;54,13
1/10/2015;58,00
1/11/2015;59,50
1/12/2015;67,40
1/1/2016;64,38
1/2/2016;62,00
1/3/2016;60,63
1/4/2016;58,50
1/5/2016;56,25
1/6/2016;56,25
1/7/2016;59,50
1/8/2016;81,00
1/9/2016;82,67
1/10/2016;90,00
1/11/2016;85,00
1/12/2016;82,38
1/1/2017;79,13
1/2/2017;80,13
1/3/2017;82,25
1/4/2017;81,94
1/5/2017;80,17
1/6/2017;95,67
1/7/2017;95,00
1/8/2017;90,00
1/9/2017;94,00
1/10/2017;90,33
1/11/2017;92,75
1/12/2017;91,00
1/1/2018;93,66
1/2/2018;89,60
1/3/2018;92,00
1/4/2018;91,88
1/5/2018;98,75
1/6/2018;104,17
1/7/2018;110,67
1/8/2018;121,67
1/9/2018;143,50
1/10/2018;153,33
1/11/2018;145,00
1/12/2018;135,00
1/1/2019;129,38
1/2/2019;134,69
1/3/2019;139,38
1/4/2019;144,50
1/5/2019;156,67
1/6/2019;155,00
1/7/2019;165,00
1/8/2019;187,50
1/9/2019;196,67
1/10/2019;208,33
1/11/2019;208,75
1/12/2019;208,00
1/1/2020;208,75
1/2/2020;210,66
1/3/2020;214,84
1/4/2020;212,13
1/5/2020;217,33
1/6/2020;235,00
1/7/2020;265,00
1/8/2020;308,00
1/9/2020;302,50
1/10/2020;302,50
1/11/2020;309,13
1/12/2020;322,00
1/1/2021;301,25
1/2/2021;315,38
1/3/2021;319,00
1/4/2021;328,75
1/5/2021;351,88
1/6/2021;418,33
1/7/2021;436,83
1/8/2021;452,50
1/9/2021;476,25
1/10/2021;525,00
1/11/2021;529,17
1/12/2021;555,33
1/1/2022;580,42
1/2/2022;592,78
1/3/2022;604,17
1/4/2022;618,33
1/5/2022;647,92
1/6/2022;725
1/7/2022;815
1/8/2022;782,5
1/9/2022;788,33
1/10/2022;877,25
1/11/2022;870
1/12/2022;909,16
1/1/2023;887,5
1/2/2023;917,12
1/3/2023;943,75
1/4/2023;941,87
1/5/2023;1025
1/6/2023;1162,5
1/7/2023;1375
1/8/2023;1766,6
1/9/2023;2066,6
1/10/2023;2087,5
1/11/2023;2662,5
